,time_period,index,Rank_F6M
167,2002_1,2002_1_yrfm6chl,291
168,2002_1,2002_1_8h6bsiwe,31
169,2002_1,2002_1_lwpwksl7,166
170,2002_1,2002_1_tjufwnwc,319
171,2002_1,2002_1_sricj4yb,209
172,2002_1,2002_1_w1pc3q1p,310
173,2002_1,2002_1_vz6v5y3k,195
174,2002_1,2002_1_d8orw2gw,30
175,2002_1,2002_1_z4tzwx8b,374
176,2002_1,2002_1_74ekyt5r,278
177,2002_1,2002_1_n3mkcf8a,283
178,2002_1,2002_1_r077mdmt,29
179,2002_1,2002_1_qnk1v39h,297
180,2002_1,2002_1_cloert34,113
181,2002_1,2002_1_vou8kyhx,221
182,2002_1,2002_1_xmdc0d39,368
183,2002_1,2002_1_yrruog6d,236
184,2002_1,2002_1_riu5qltp,140
185,2002_1,2002_1_zzm12hzn,250
186,2002_1,2002_1_b72mgze5,345
187,2002_1,2002_1_px6ac3tx,235
188,2002_1,2002_1_h303fity,177
189,2002_1,2002_1_0o976ybx,327
190,2002_1,2002_1_mtyu94n6,178
191,2002_1,2002_1_riait42i,101
192,2002_1,2002_1_fh9qvi1f,28
193,2002_1,2002_1_q95j5cx9,116
194,2002_1,2002_1_5h8h6bnt,323
195,2002_1,2002_1_mzjn01z1,135
196,2002_1,2002_1_ushydbgb,317
197,2002_1,2002_1_0qwgfsck,27
198,2002_1,2002_1_f5po7ixn,256
199,2002_1,2002_1_8xepjuvj,239
200,2002_1,2002_1_q4ckx31d,308
201,2002_1,2002_1_2xd3cocj,63
202,2002_1,2002_1_39fzfsoo,199
203,2002_1,2002_1_xivkzfsw,255
204,2002_1,2002_1_era2j1qn,152
205,2002_1,2002_1_wxxyl58g,270
206,2002_1,2002_1_is7lzras,293
207,2002_1,2002_1_qlgapq3u,261
208,2002_1,2002_1_eubno7f6,340
209,2002_1,2002_1_ffqb46ka,144
210,2002_1,2002_1_abj5e0lc,88
211,2002_1,2002_1_haq671p8,200
212,2002_1,2002_1_fkep577x,112
213,2002_1,2002_1_wt1gmuu5,237
214,2002_1,2002_1_h5hi6zfj,126
215,2002_1,2002_1_qr6k8kcs,287
216,2002_1,2002_1_zmbriksd,78
217,2002_1,2002_1_jtqlxd5z,217
218,2002_1,2002_1_vsm95k3e,302
219,2002_1,2002_1_2ystw75f,300
220,2002_1,2002_1_fk6jc5p5,324
221,2002_1,2002_1_9mmftqyu,26
222,2002_1,2002_1_eoetyue2,367
223,2002_1,2002_1_id389c6i,253
224,2002_1,2002_1_7n6d3eto,25
225,2002_1,2002_1_aitokl89,71
226,2002_1,2002_1_1iayujew,333
227,2002_1,2002_1_c4x75zkn,103
228,2002_1,2002_1_kynxfz2h,207
229,2002_1,2002_1_n3o4yzto,170
230,2002_1,2002_1_8acwnm36,60
231,2002_1,2002_1_6v0f2yx6,226
232,2002_1,2002_1_l0tdaiau,24
233,2002_1,2002_1_i95zahes,109
234,2002_1,2002_1_w4mtpoqg,84
235,2002_1,2002_1_32euk07b,89
236,2002_1,2002_1_6th9z46e,23
237,2002_1,2002_1_8m76khvh,175
238,2002_1,2002_1_cpe74jjl,360
239,2002_1,2002_1_fs2kogf7,22
240,2002_1,2002_1_mwzmli87,125
241,2002_1,2002_1_dqx67fgr,344
242,2002_1,2002_1_5xpnwtqf,85
243,2002_1,2002_1_epmzfz5s,218
244,2002_1,2002_1_640nfmfw,329
245,2002_1,2002_1_2cvudtyy,216
246,2002_1,2002_1_f3vn7stu,127
247,2002_1,2002_1_uxoesuwa,110
248,2002_1,2002_1_0hbtinsx,68
249,2002_1,2002_1_kporavbq,174
250,2002_1,2002_1_as9imlxb,346
251,2002_1,2002_1_gj1zkrir,66
252,2002_1,2002_1_8xzjjlf7,21
253,2002_1,2002_1_0tyleue8,290
254,2002_1,2002_1_odr83kt4,56
255,2002_1,2002_1_ldfcumgn,82
256,2002_1,2002_1_zvetpwtg,328
257,2002_1,2002_1_s24muh4n,20
258,2002_1,2002_1_ocaz4uxy,198
259,2002_1,2002_1_in6xr6rl,19
260,2002_1,2002_1_lhhj3fvb,260
261,2002_1,2002_1_f327ec4d,189
262,2002_1,2002_1_0wsgp4de,18
263,2002_1,2002_1_gy4cvqqb,17
264,2002_1,2002_1_v5z2q2a1,131
265,2002_1,2002_1_xfxresqn,203
266,2002_1,2002_1_h8si7zjl,93
267,2002_1,2002_1_fczhqo4k,141
268,2002_1,2002_1_u1s44z9b,285
269,2002_1,2002_1_z7xjo8r0,146
270,2002_1,2002_1_81s9s3r1,224
271,2002_1,2002_1_vjsggk06,208
272,2002_1,2002_1_jtomrpyi,299
273,2002_1,2002_1_16jp81ea,263
274,2002_1,2002_1_c2ty4i39,356
275,2002_1,2002_1_thjb2qt6,149
276,2002_1,2002_1_8f34yo3q,298
277,2002_1,2002_1_7ttd5567,282
278,2002_1,2002_1_jedcics6,316
279,2002_1,2002_1_8nfrpz8e,312
280,2002_1,2002_1_jw9pvim6,107
281,2002_1,2002_1_cqf4k97h,70
282,2002_1,2002_1_jhx62pq3,67
283,2002_1,2002_1_3zpjzjd7,16
284,2002_1,2002_1_5fjlk7kr,61
285,2002_1,2002_1_tpb11s0t,132
286,2002_1,2002_1_onpovta1,262
287,2002_1,2002_1_3f8cit1d,59
288,2002_1,2002_1_0p0ydbtb,15
289,2002_1,2002_1_qlwxwfv8,76
290,2002_1,2002_1_odfpj7pu,115
291,2002_1,2002_1_rll633vi,337
292,2002_1,2002_1_koxny38f,311
293,2002_1,2002_1_4dkl5p37,96
294,2002_1,2002_1_15p0c8u7,372
295,2002_1,2002_1_vthijwf6,124
296,2002_1,2002_1_ilth7vim,373
297,2002_1,2002_1_nrhmc8y5,14
298,2002_1,2002_1_kaaydhfz,193
299,2002_1,2002_1_3qskto22,188
300,2002_1,2002_1_xbcqsl1y,13
301,2002_1,2002_1_3ganzkqp,266
302,2002_1,2002_1_wclh7rmi,57
303,2002_1,2002_1_qt89b7k9,222
304,2002_1,2002_1_8jl8oswj,366
305,2002_1,2002_1_1be8xk5s,213
306,2002_1,2002_1_6tt9es5b,12
307,2002_1,2002_1_jljs3j1u,73
308,2002_1,2002_1_9dm8og05,375
309,2002_1,2002_1_zjz918vr,183
310,2002_1,2002_1_dgqcojxl,223
311,2002_1,2002_1_pehrvgbb,134
312,2002_1,2002_1_qtoni6ac,108
313,2002_1,2002_1_iehtndb9,296
314,2002_1,2002_1_vkvg8a13,215
315,2002_1,2002_1_dhvnq347,264
316,2002_1,2002_1_75u9k6o1,272
317,2002_1,2002_1_cc0ten99,180
318,2002_1,2002_1_9d907edt,273
319,2002_1,2002_1_c31qos18,192
320,2002_1,2002_1_s3trvtu1,348
321,2002_1,2002_1_y3mpfpon,129
322,2002_1,2002_1_ck2ak4sk,11
323,2002_1,2002_1_4by5j5kh,210
324,2002_1,2002_1_806b0vrv,79
325,2002_1,2002_1_dhsiznl8,351
326,2002_1,2002_1_c9n8z5js,313
327,2002_1,2002_1_0t77eh2c,352
328,2002_1,2002_1_f8zj6gaz,314
329,2002_1,2002_1_5sns7na5,251
330,2002_1,2002_1_o3hs9gdj,359
331,2002_1,2002_1_g2lhrikq,271
332,2002_1,2002_1_jvuvhxi1,102
333,2002_1,2002_1_yopxnb1c,94
334,2002_1,2002_1_ezw1j87x,309
335,2002_1,2002_1_yv51yv6l,241
336,2002_1,2002_1_ncwge6ly,187
337,2002_1,2002_1_0bw5eviy,148
338,2002_1,2002_1_9d8z5arc,10
339,2002_1,2002_1_ggofzze3,77
340,2002_1,2002_1_z9v2orc2,234
341,2002_1,2002_1_o09yywz5,142
342,2002_1,2002_1_9mw6yy14,219
343,2002_1,2002_1_k3wnkad6,249
344,2002_1,2002_1_thn95r3c,153
345,2002_1,2002_1_iiytsvnw,233
346,2002_1,2002_1_ixdn63gz,326
347,2002_1,2002_1_f9xxov1c,9
348,2002_1,2002_1_gv92cyb9,8
349,2002_1,2002_1_ia6bphna,289
350,2002_1,2002_1_5wkbvdyc,370
351,2002_1,2002_1_ki78viz8,7
352,2002_1,2002_1_ois5r7vr,6
353,2002_1,2002_1_it2t4gli,245
354,2002_1,2002_1_vzck7q6h,162
355,2002_1,2002_1_x1zgnlbg,214
356,2002_1,2002_1_ofp37j2c,248
357,2002_1,2002_1_yok1j4f8,277
358,2002_1,2002_1_hd1xvraw,139
359,2002_1,2002_1_mli7qmsa,164
360,2002_1,2002_1_q4t7jmin,171
361,2002_1,2002_1_zfit4658,276
362,2002_1,2002_1_7scg9c8h,334
363,2002_1,2002_1_1d1kts6s,5
364,2002_1,2002_1_ka3wm8dj,147
365,2002_1,2002_1_6dja2rbw,167
366,2002_1,2002_1_jutb6mu9,254
367,2002_1,2002_1_bdu77113,121
368,2002_1,2002_1_2oechwdz,95
369,2002_1,2002_1_8njxs2ev,99
370,2002_1,2002_1_28o9cc59,4
371,2002_1,2002_1_mvb23ycr,211
372,2002_1,2002_1_k5bxhx60,3
373,2002_1,2002_1_ci9hkrne,2
374,2002_1,2002_1_ebf0ze1c,1
375,2002_1,2002_1_88nfkfy5,294
376,2002_2,2002_2_w51ejr6e,151
377,2002_2,2002_2_7aitidqk,272
378,2002_2,2002_2_iq3h3gl8,71
379,2002_2,2002_2_my5lpyfe,34
380,2002_2,2002_2_4xg4ap4j,305
381,2002_2,2002_2_d499l3xo,246
382,2002_2,2002_2_oe6701he,61
383,2002_2,2002_2_46a6nsl3,49
384,2002_2,2002_2_irl5cruk,327
385,2002_2,2002_2_yjgn82mr,216
386,2002_2,2002_2_z6p6tojj,137
387,2002_2,2002_2_jz67dj02,288
388,2002_2,2002_2_1we9pm6m,265
389,2002_2,2002_2_st306p43,235
390,2002_2,2002_2_6l3o9qmb,53
391,2002_2,2002_2_0xatmvwu,144
392,2002_2,2002_2_sua60laj,86
393,2002_2,2002_2_549hxufl,103
394,2002_2,2002_2_1atdzcgj,255
395,2002_2,2002_2_qqhpybw6,166
396,2002_2,2002_2_qy8qla76,281
397,2002_2,2002_2_47i5a5bn,2
398,2002_2,2002_2_glu33e91,50
399,2002_2,2002_2_u2oyogj5,343
400,2002_2,2002_2_i37zihvu,245
401,2002_2,2002_2_e527taic,31
402,2002_2,2002_2_lcxw9rpd,107
403,2002_2,2002_2_3boxmqpk,62
404,2002_2,2002_2_ze1b6u3b,240
405,2002_2,2002_2_ounet2ek,198
406,2002_2,2002_2_kuyzrf5h,249
407,2002_2,2002_2_3rwetysw,230
408,2002_2,2002_2_u1y0c79o,175
409,2002_2,2002_2_s3gfi14n,291
410,2002_2,2002_2_83bwajjj,114
411,2002_2,2002_2_uz1xthza,159
412,2002_2,2002_2_up5bpw6g,119
413,2002_2,2002_2_2nousqlf,7
414,2002_2,2002_2_6on9g8tu,129
415,2002_2,2002_2_m4acewg9,136
416,2002_2,2002_2_ezspxg3q,275
417,2002_2,2002_2_kgng5ene,48
418,2002_2,2002_2_l3621be4,157
419,2002_2,2002_2_773y67xm,101
420,2002_2,2002_2_qma9mxvh,374
421,2002_2,2002_2_f6bple0g,184
422,2002_2,2002_2_kms2e8l5,181
423,2002_2,2002_2_jauejf9s,123
424,2002_2,2002_2_252ybpb1,373
425,2002_2,2002_2_wavtfje3,163
426,2002_2,2002_2_fhveg5hx,63
427,2002_2,2002_2_jedo0bfg,80
428,2002_2,2002_2_in1zeh9e,162
429,2002_2,2002_2_53v6m3no,206
430,2002_2,2002_2_j3nklk1b,210
431,2002_2,2002_2_y0lsi1gc,248
432,2002_2,2002_2_guwbyt6w,277
433,2002_2,2002_2_pi3eptt4,257
434,2002_2,2002_2_204f0rq7,179
435,2002_2,2002_2_bs732jen,218
436,2002_2,2002_2_ikxq3r9j,32
437,2002_2,2002_2_kkli2yrp,347
438,2002_2,2002_2_1bsi4fon,295
439,2002_2,2002_2_0iamc2vw,38
440,2002_2,2002_2_uof4pd2x,266
441,2002_2,2002_2_dnj487en,367
442,2002_2,2002_2_3dzmr6fa,12
443,2002_2,2002_2_zybdeb6x,263
444,2002_2,2002_2_hydxig2r,18
445,2002_2,2002_2_tszf7pq5,243
446,2002_2,2002_2_suxtkono,318
447,2002_2,2002_2_354cx2q9,217
448,2002_2,2002_2_iq9zmf9f,41
449,2002_2,2002_2_qqkabcr6,241
450,2002_2,2002_2_2khvvmmu,146
451,2002_2,2002_2_fcdpcih9,314
452,2002_2,2002_2_yyukfk97,231
453,2002_2,2002_2_akpa9uaj,247
454,2002_2,2002_2_0ku8bni9,91
455,2002_2,2002_2_gce7izgs,124
456,2002_2,2002_2_ftcgn2rt,127
457,2002_2,2002_2_wsl02pzx,350
458,2002_2,2002_2_b891guhg,234
459,2002_2,2002_2_0bup1lw9,337
460,2002_2,2002_2_per6m6at,152
461,2002_2,2002_2_3jqpot34,221
462,2002_2,2002_2_ysybs2b7,191
463,2002_2,2002_2_x6s09pfb,192
464,2002_2,2002_2_wed799m2,165
465,2002_2,2002_2_a75k0t4q,204
466,2002_2,2002_2_1a578ftr,68
467,2002_2,2002_2_ex31q3g3,85
468,2002_2,2002_2_kvt6k67a,299
469,2002_2,2002_2_7vntaceu,302
470,2002_2,2002_2_vxzn0loa,324
471,2002_2,2002_2_k0d8528t,70
472,2002_2,2002_2_e1tqo1e2,36
473,2002_2,2002_2_r5ydt7wa,193
474,2002_2,2002_2_0xyslkr3,30
475,2002_2,2002_2_o22splkt,99
476,2002_2,2002_2_b49y9v6l,260
477,2002_2,2002_2_8yh48xl7,258
478,2002_2,2002_2_1f6wzvcu,22
479,2002_2,2002_2_abo6xddq,52
480,2002_2,2002_2_as2uxuup,60
481,2002_2,2002_2_py3gwbfy,72
482,2002_2,2002_2_cmao1s4d,125
483,2002_2,2002_2_t09obavz,188
484,2002_2,2002_2_tvzb10dn,108
485,2002_2,2002_2_kcs3md6t,357
486,2002_2,2002_2_ik61vlxm,20
487,2002_2,2002_2_bkz10952,172
488,2002_2,2002_2_5ch4mk5f,155
489,2002_2,2002_2_ok6c0cy3,169
490,2002_2,2002_2_otc7t846,59
491,2002_2,2002_2_xcaw8b4y,271
492,2002_2,2002_2_k492npc9,154
493,2002_2,2002_2_yhhzdhti,294
494,2002_2,2002_2_wrto89q8,130
495,2002_2,2002_2_4ayw8tlr,280
496,2002_2,2002_2_2xr0zwmi,360
497,2002_2,2002_2_ucwhvfto,164
498,2002_2,2002_2_l50jbbf4,133
499,2002_2,2002_2_juwtg616,214
500,2002_2,2002_2_lhqiqit2,301
501,2002_2,2002_2_jha6pcdn,276
502,2002_2,2002_2_qnbuq8f6,177
503,2002_2,2002_2_4rsj20pk,83
504,2002_2,2002_2_3n04s4o5,16
505,2002_2,2002_2_jrg4xn4s,21
506,2002_2,2002_2_zijgh7fe,293
507,2002_2,2002_2_dsnocekw,311
508,2002_2,2002_2_irs7qukj,290
509,2002_2,2002_2_j75rswhf,147
510,2002_2,2002_2_hsx1ukm6,149
511,2002_2,2002_2_f80i1z4w,307
512,2002_2,2002_2_z0alkyym,43
513,2002_2,2002_2_ypk7j595,237
514,2002_2,2002_2_skvxqp3y,356
515,2002_2,2002_2_iwv0kmzd,145
516,2002_2,2002_2_vuqp0j41,242
517,2002_2,2002_2_1r00xzg1,278
518,2002_2,2002_2_pxixy45x,320
519,2002_2,2002_2_v4vje2dv,120
520,2002_2,2002_2_cjbgvajp,368
521,2002_2,2002_2_et3jpffl,224
522,2002_2,2002_2_xvi2wrur,88
523,2002_2,2002_2_npv3ei4d,161
524,2002_2,2002_2_pxwy2vdc,51
525,2002_2,2002_2_5d0wcuj1,153
526,2002_2,2002_2_ge0mxs9l,342
527,2002_2,2002_2_76r9wz92,74
528,2002_2,2002_2_aqyl9o9y,150
529,2002_2,2002_2_ourqr7x1,209
530,2002_2,2002_2_0gsfwbex,66
531,2002_2,2002_2_el4hy6io,252
532,2002_2,2002_2_7cjajnt3,17
533,2002_2,2002_2_mmowx0cg,89
534,2002_2,2002_2_zttqn3rn,308
535,2002_2,2002_2_shcv78x2,11
536,2002_2,2002_2_kxlxnw08,143
537,2002_2,2002_2_u6tbrg4l,238
538,2002_2,2002_2_33hzzoms,328
539,2002_2,2002_2_zsf2azy3,333
540,2002_2,2002_2_kdb0mumn,102
541,2002_2,2002_2_1p6nj1sa,5
542,2002_2,2002_2_yidpc620,353
543,2002_2,2002_2_my3ih1hj,351
544,2002_2,2002_2_9gcpd34l,336
545,2002_2,2002_2_inot2ott,178
546,2002_2,2002_2_sg3umoum,313
547,2002_2,2002_2_2pkf3bb0,211
548,2002_2,2002_2_rs8xyz9h,203
549,2002_2,2002_2_3zposn2p,69
550,2002_2,2002_2_0p14kl1w,47
551,2002_2,2002_2_e8po2mwo,344
552,2002_2,2002_2_ehwdjkzc,40
553,2002_2,2002_2_q9uqptw8,140
554,2002_2,2002_2_wetx19kt,116
555,2002_2,2002_2_doq2blkk,250
556,2002_2,2002_2_uibn690g,332
557,2002_2,2002_2_jut2h2p7,84
558,2002_2,2002_2_9lmwagr3,141
559,2002_2,2002_2_6bben3n7,323
560,2002_2,2002_2_7e0mjvyg,212
561,2002_2,2002_2_mwczys48,39
562,2002_2,2002_2_q2suvr5x,94
563,2002_2,2002_2_pyu7arel,121
564,2002_2,2002_2_el57d8b9,81
565,2002_2,2002_2_zkh8nly7,251
566,2002_2,2002_2_uhf7itk7,87
567,2002_2,2002_2_szibz6lz,92
568,2002_2,2002_2_c5z1f0xl,352
569,2002_2,2002_2_vjx8vr2t,361
570,2002_2,2002_2_kiknbon0,219
571,2002_2,2002_2_pu0mhj9y,286
572,2002_2,2002_2_zxrj2gr4,25
573,2002_2,2002_2_752wjbgy,310
574,2002_2,2002_2_0mbdcvtd,223
575,2002_2,2002_2_tnn7f0lb,190
576,2002_2,2002_2_5d65k0p0,199
577,2002_2,2002_2_egvbgnph,24
578,2002_2,2002_2_ehhh2lib,57
579,2002_2,2002_2_cztjbd86,300
580,2002_2,2002_2_p7139d49,132
581,2002_2,2002_2_hrhj4ugl,270
582,2002_2,2002_2_8uhy25mb,239
583,2002_2,2002_2_5s00fja6,225
584,2002_2,2002_2_vuqo7kdt,194
585,2002_2,2002_2_ku2d33yn,355
586,2002_2,2002_2_txfpai5q,330
587,2002_2,2002_2_r6i292jn,93
588,2002_2,2002_2_ilo4kqha,298
589,2002_2,2002_2_ot1et7e0,112
590,2002_2,2002_2_cww07rg9,349
591,2002_2,2002_2_92984eo7,75
592,2002_2,2002_2_u6h1rm5f,110
593,2002_2,2002_2_noau2bio,14
594,2002_2,2002_2_yi7wpn6a,369
595,2002_2,2002_2_th8gx00j,15
596,2002_2,2002_2_cvl7fkcd,331
597,2002_2,2002_2_du90ixzg,3
598,2002_2,2002_2_gmd9yz9x,76
599,2002_2,2002_2_0e9wppyi,160
600,2002_2,2002_2_99uipnds,334
601,2002_2,2002_2_bjfdi771,142
602,2002_2,2002_2_sj8heupu,292
603,2002_2,2002_2_4xkjkpdg,128
604,2002_2,2002_2_z98k95cb,335
605,2002_2,2002_2_tndnfs8i,98
606,2002_2,2002_2_lv7basrq,364
607,2002_2,2002_2_71hrymxh,186
608,2002_2,2002_2_667oryx7,267
609,2002_2,2002_2_bi5tif34,174
610,2002_2,2002_2_dgx7dtxl,220
611,2002_2,2002_2_hx4urin4,268
612,2002_2,2002_2_bfft4ffm,329
613,2002_2,2002_2_6npv64dl,35
614,2002_2,2002_2_tw0253xa,176
615,2002_2,2002_2_f7ztke6m,304
616,2002_2,2002_2_y9k7lcg8,365
617,2002_2,2002_2_zo8azmz3,10
618,2002_2,2002_2_j84358c7,148
619,2002_2,2002_2_bxwkyohq,13
620,2002_2,2002_2_u78cosmo,197
621,2002_2,2002_2_uqenhdik,319
622,2002_2,2002_2_vbpoy6la,158
623,2002_2,2002_2_69okbw1f,283
624,2002_2,2002_2_ok9dot8e,303
625,2002_2,2002_2_171i7epc,42
626,2002_2,2002_2_pjeo866l,104
627,2002_2,2002_2_m0wm8aid,366
628,2002_2,2002_2_ydx2qp2y,340
629,2002_2,2002_2_3bku0w64,6
630,2002_2,2002_2_6brelaoo,19
631,2002_2,2002_2_kyacnitt,279
632,2002_2,2002_2_smvn7qle,58
633,2002_2,2002_2_n2c4owra,111
634,2002_2,2002_2_36p42tux,289
635,2002_2,2002_2_x4eyzi29,90
636,2002_2,2002_2_uv21qako,8
637,2002_2,2002_2_wsch449a,325
638,2002_2,2002_2_fptan179,284
639,2002_2,2002_2_pzrglq0x,227
640,2002_2,2002_2_pbgs87m2,33
641,2002_2,2002_2_4bazg4ef,253
642,2002_2,2002_2_bov96m6c,96
